,0
1504,0.4932055
1505,0.4860229
1506,0.1508347
1507,0.3303998
1508,0.3998317
1509,0.3495534
1510,0.2825158
1511,0.3734955
1512,0.4716577
1513,0.4070143
1514,0.1963245
1515,0.3184288
1516,0.2681506
1517,0.1005565
1518,0.1819593
1519,0.4141969
1520,0.2801216
1521,0.2154782
1522,0.1699883
1523,-0.3782839
1524,-0.4405331
1525,-0.3998317
1526,-0.2106898
1527,0.2059013
1528,-0.4477157
1529,-0.5075707
1530,-0.1987187
1531,0.1747767
1532,0.09576806
1533,-0.3303998
1534,-0.4836287
1535,-0.2777274
1536,-0.2537854
1537,-0.2202666
1538,0.1197101
1539,0.1771709
1540,-0.2896984
1541,-0.272939
1542,-0.2681506
1543,0.3854665
1544,0.2753332
